abiword 3.0.4-1
accountsservice 0.6.55-1
ack 3.3.1-1
acpi 1.7-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
albert 0.16.1-2
alsa-firmware 1.2.1-2
alsa-plugins 1.2.2-1
alsa-utils 1.2.2-1
android-tools 29.0.6-1
arandr 0.1.10-4
arduino-avr-core 1.8.2-1
arm-none-eabi-binutils 2.34-1
arm-none-eabi-gcc 9.3.0-1
arm-none-eabi-newlib 3.3.0-1
asoundconf 1.2-4
atool 0.39.0-6
autoconf 2.69-7
automake 1.16.2-1
avr-binutils 2.34-2
avr-gcc 9.3.0-1
avr-libc 2.0.0-3
avrdude 1:6.3-6
baobab 3.34.0-1
bash 5.0.016-1
bash-completion 2.10-1
bat 0.13.0-1
bind-tools 9.16.2-1
binutils 2.34-2
bitwarden-bin 1.17.2-1
blender 17:2.82.a-3
blueberry 1.3.5-1
blueman 2.1.2-1
bluez-utils 5.54-1
broot 0.13.6-1
bzip2 1.0.8-3
cairo 1.17.2+17+g52a7c79fd-2
cheese 3.34.0+23+gcac6d3a1-1
chromium 81.0.4044.129-1
clipmenu 6.0.1-1
clojure 1.10.1-6
cmake 3.17.2-1
colordiff 1.0.18-2
cool-retro-term 1.1.1-1
copyq 3.10.0-1
coreutils 8.32-1
cowsay 3.04-1
cronie 1.5.5-1
cryptsetup 2.3.1-1
davfs2 1.5.6-1
dconf-editor 3.36.2-1
device-mapper 2.02.187-1
dex 0.8.0-2
dfu-programmer 0.7.2-2
dfu-util 0.9-2
dhcp 4.4.2-2
dhcpcd 9.0.2-1
dhcpcd-ui 0.7.7-1
dialog 1:1.3_20200327-1
diff-so-fancy 1.3.0-1
diffpdf 2.1.3.1-1
diffuse 0.5.0alpha7+4+g813d6e7-3
diffutils 3.7-3
dkms 2.8.1-2
docker-compose 1.25.5-1
docker-machine 0.16.2-3
dosfstools 4.1-3
downgrade 6.3.0-1
dpkg 1.20.0-1
e2fsprogs 1.45.6-1
efibootmgr 17-1
emacs 26.3-1
enpass-bin 6.4.1.643-2
epdfview 0.1.8-10
epiphany 3.36.1-1
evince 3.36.0-1
exa 0.9.0-1
f2fs-tools 1.13.0-1
fakeroot 1.24-2
fd 8.0.0-1
feh 3.4-1
file 5.38-3
file-roller 3.36.2-1
filesystem 2019.10-2
filezilla 3.46.3-1
findutils 4.7.0-2
firefox 75.0-2
flake8 1:3.7.9-1
flex 2.6.4-3
fontconfig 2:2.13.91+24+g75eadca-2
freetype2 2.10.1-2
freetype2-demos-infinality 2.10.1-1
fzf 0.21.1-1
gawk 5.1.0-1
gcc-fortran 9.3.0-1
gdb 9.1-2
geany 1.36-1
gettext 0.20.2-1
glibc 2.31-2
gnome-desktop 1:3.36.2-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.36.1-2
gnome-session 3.36.0-1
gnome-system-log 3.9.90+160+g4b07190-1
gnome-system-monitor 3.36.0-1
gnu-netcat 0.7.1-7
gnumeric 1.12.46-2
gnuplot 5.2.8-1
go-pie 2:1.14.2-1
google-chrome 81.0.4044.129-1
gotop-bin 3.5.1-1
gparted 1.1.0-1
gpick 0.2.6rc1-7
gpicview 0.2.5-4
graal-bin 19.3.0-1
graal-native-image-bin 19.3.0-1
grep 3.4-1
groff 1.22.4-3
gron-bin 0.6.0-1
grub 2:2.04-5
gst-libav 1.16.2-1
gst-plugins-good 1.16.2-3
gucharmap 13.0.0-1
gvfs 1.44.1-1
gvfs-afc 1.44.1-1
gvfs-goa 1.44.1-1
gvfs-google 1.44.1-1
gvfs-gphoto2 1.44.1-1
gvfs-mtp 1.44.1-1
gvfs-nfs 1.44.1-1
gvfs-smb 1.44.1-1
gzip 1.10-3
hddtemp 0.3.beta15.53-2
hdparm 9.58-3
htop 2.2.0-3
i3-wm 4.18.1-1
i3lock 2.12-1
i3status 2.13-2
i3status-rust-bin 0.13.0-1
icdiff 1.9.5-1
ifplugd 0.28-15
inetutils 1.9.4-8
iproute2 5.6.0-1
ipscan 3.7.0-1
iputils 20190709-2
ipython 7.13.0-1
iw 5.4-1
jdk-openjdk 13.0.2.u8-1
joker-bin 0.15.3-1
jq 1.6-2
julia 2:1.4.1-2
kbfs 5.4.2-1
keybase 5.4.2-1
kitty 0.17.3-1
kruler 20.04.0-1
lapacke 3.9.0-2
less 551-3
libc++experimental 9.0.1-1
libffado 2.4.2-3
liblockfile 1.16_1.1-1
libreoffice-fresh 6.4.3-1
libtool 2.4.6+42+gb88cebd5-11
lightdm-gtk-greeter 1:2.0.7-1
linux 5.6.7.arch1-1
linux-headers 5.6.7.arch1-1
llvm 10.0.0-1
logrotate 3.16.0-1
lsof 4.93.2-1
lvm2 2.02.187-1
lxappearance 0.6.3-2
lxc 1:4.0.2-1
lxterminal 0.3.2-2
lzip 1.21-2
lzop 1.04-2
m4 1.4.18-3
make 4.3-3
man-db 2.9.1-2
man-pages 5.06-2
mathjax 3.0.5-1
maven 3.6.3-1
mbedtls 2.16.5-1
mdadm 4.1-2
mist 0.11.1-1
mkinitcpio-nfs-utils 0.3-7
mlocate 0.26.git.20170220-3
mousepad 0.4.2-2
mplayer 38157-2
mypy 0.770-1
nano 4.9.2-1
ncdu 1.14.2-1
netctl 1.21-2
networkmanager-openvpn 1.8.12-1
nfs-utils 2.4.3-2
nodejs 14.0.0-1
noto-fonts 20190926-4
npm 6.14.4-1
ntfs-3g 2017.3.23-4
ntp 4.2.8.p14-1
nvidia-cg-toolkit 3.1-5
ocaml 4.09.1-1
openssh 8.2p1-3
openvpn 2.4.9-2
os-prober 1.77-1
p7zip 16.02-5
pacgraph 20110629-4
package-query 1.10-1
pacman 5.2.1-4
pacmatic 20150126-2
pakku 0.14-1
pamac-aur 9.4.2-1
parallel 20191122-1
patch 2.7.6-8
patchage 1.0.2-1
pavucontrol 1:4.0-1
pciutils 3.6.4-1
pcmanfm 1.3.1-1
perl 5.30.2-1
pinta 1.6-4
pkgconf 1.6.3-4
pkgtools 25-8
plzip 1.8-1
pm-utils 1.4.1-8
pqiv 2.11-3
procps-ng 3.3.16-1
projectlibre 1.9.1-0
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-3
pulseaudio-ctl 1.67-1
pygtk 2.24.0-12
python-html2text 2019.8.11-4
python-pip 20.0.2-1
python-pylint 2.4.4-1
python-v4l2capture 12.0.0-1
qalculate-gtk 3.9.0.a-1
qjackctl 0.6.2-1
qopenvpn 2.0.0-3
